28,55,155,80,22,30
160,81,233,160,29,160
154,21,174,21,174,42
190,18,291,18,190,79
138,85,4,34,6,142
162,34,339,70,34,92
33,91,235,91,91,33
32,0,375,375,51,375
184,47,42,75,45,42
72,87,76,159,72,76
184,29,15,199,89,92
92,89,173,89,87,92
105,93,51,105,105,78
152,49,328,88,25,480
125,92,235,235,92,125
52,67,138,83,71,67
92,68,307,17,69,86
178,80,246,40,178,56
165,25,141,99,66,88
93,70,246,70,70,70
77,95,188,99,188,188
95,95,170,71,95,95
39,14,326,42,326,68
193,70,18,32,86,70
122,90,96,93,40,96
32,11,67,32,46,67
116,15,171,116,15,302
124,74,285,13,99,74
81,10,290,300,91,10
48,19,24,91,17,40
140,31,111,140,49,140
162,25,92,25,92,48
196,56,134,23,29,196
128,22,98,128,16,98
180,22,49,12,76,229
93,67,160,67,66,4
173,85,41,82,49,173
42,79,232,67,90,79
117,5,387,61,117,504
160,86,154,160,240,154
160,66,44,44,54,83
145,91,191,33,96,145
5,31,160,160,160,60
55,93,302,66,29,58
112,24,63,35,63,16
62,13,231,13,62,33
18,47,151,66,47,44
167,59,25,59,49,59
4,84,76,84,80,84
71,6,258,335,264,264
7,54,118,7,118,54
134,12,90,73,51,12
188,5,245,95,43,64
105,0,196,4,8,38
54,10,101,111,51,51
58,38,323,381,41,52
139,83,380,77,90,222
113,42,331,88,331,42
157,76,390,78,76,390
172,78,259,50,172,172
164,14,319,67,16,164
42,72,34,63,33,20
92,79,68,160,87,57
149,61,67,37,61,61
20,82,3,20,20,3
168,83,183,183,51,183
3,72,357,82,18,3
67,79,244,76,323,244
39,46,325,99,6,48
56,34,367,367,31,34
26,79,92,92,52,79
199,51,46,51,45,51
49,39,183,183,49,39
188,17,0,0,0,0
79,9,348,88,9,9
120,42,133,32,253,42
122,95,148,122,59,13
56,93,5,11,78,97
80,96,206,96,71,96
10,49,253,10,82,49
95,54,212,212,95,56
146,40,284,89,28,57
80,28,186,2,48,54
35,47,38,77,85,51
10,66,343,84,343,343
33,14,36,44,14,81
186,99,372,285,81,12
197,39,255,236,9,43
142,94,399,82,541,26
86,53,333,53,53,37
58,43,122,43,43,80
164,5,191,5,355,355
67,57,24,67,63,57
108,97,217,97,97,79
135,94,137,17,94,55
160,90,275,365,51,51
22,82,26,22,22,82
12,4,41,60,41,53
119,11,97,119,97,119
67,86,163,230,163,39
118,33,251,369,57,39
63,1,220,1,0,64
181,87,102,10,181,102
111,68,337,405,95,111
111,58,136,45,247,64
26,73,132,91,75,78
12,44,32,36,44,62
134,32,395,32,33,60
157,2,225,89,225,382
104,6,214,64,220,89
117,71,152,21,50,117
133,1,300,133,1,433
9,11,292,301,25,26
46,3,183,83,13,46
137,19,276,19,22,137
43,47,243,243,290,50
36,89,215,251,36,7
107,59,277,29,60,336
158,66,259,66,34,94
122,26,249,275,95,26
122,0,74,49,48,122
150,76,49,41,49,7
147,29,42,147,57,35
52,77,138,52,65,77
198,28,76,28,198,28
122,28,206,234,96,328
133,5,142,275,133,67
40,66,68,68,106,91
39,49,136,15,20,175
185,11,123,123,65,308
136,52,24,136,188,24
149,5,239,50,40,239
170,87,211,69,211,61
177,53,30,30,65,66
20,62,269,95,331,28
173,75,145,16,83,95
87,73,118,87,95,87
191,24,167,46,89,56
34,2,82,31,2,34
84,22,202,202,55,224
190,49,287,41,96,287
193,7,276,200,51,31
73,90,261,261,73,163
184,82,172,78,36,60
42,31,261,73,56,42
111,43,283,394,111,43
156,81,288,33,54,43
40,81,136,40,61,40
31,50,250,15,90,31
108,85,137,137,85,54
5,65,360,5,73,81
27,89,210,210,26,59
195,26,158,43,26,3
105,79,373,98,32,38
10,96,335,82,96,431
135,92,214,306,135,92
116,8,183,116,191,25
11,7,308,59,90,86
111,22,384,111,27,384
179,66,352,44,57,66
73,98,23,6,23,98
88,74,53,24,74,88
192,86,159,192,278,89
127,98,226,226,98,52
61,42,272,17,3,42
84,34,173,118,70,30
25,85,45,45,45,41
127,39,146,27,127,75
65,19,319,89,9,384
194,96,91,27,96,31
30,72,341,30,72,29
182,15,50,67,31,62
48,89,346,346,435,89
70,33,256,33,76,91
30,6,2,59,2,2
162,62,47,47,31,31
60,49,118,29,12,30
168,24,228,1,228,48
97,63,181,97,76,5
42,99,39,40,138,39
34,52,144,69,34,91
123,76,282,40,93,282
32,99,264,40,99,32
16,30,123,88,123,123
65,94,140,23,94,299
152,83,360,152,50,360
152,77,369,446,10,152
142,62,94,6,236,142
162,45,294,93,207,48
144,0,331,53,98,80
64,55,359,119,359,55
110,68,317,84,75,110
120,42,366,42,37,20
45,61,142,42,58,45
168,96,378,378,81,378
190,74,381,98,96,571
72,36,321,108,27,321
162,40,68,202,40,51
33,82,344,344,32,81
84,29,286,286,18,14
150,72,196,91,72,196
21,85,201,81,201,68
93,15,187,108,43,187
154,35,262,74,189,36
142,47,186,45,27,47
66,81,38,81,38,81
183,79,138,183,183,66
119,16,376,28,135,46
34,85,261,346,31,54
67,28,2,2,2,35
190,42,256,56,29,0
138,19,267,31,138,138
142,73,363,142,11,215
152,27,314,16,341,64
54,80,117,78,117,91
35,16,166,21,98,54
62,70,245,70,70,70
