64,161,4,103
13,145,3,945
0,27,174,1
43,46,21,819
286,4,6,1775
1322,685,13,4
4,1,19,3
9,3,3,3
1,5,41,492
1,52,133,40
1,2,3,3
914,146,660,14
13,507,94,4
568,73,7,26
1623,20,1869,66
17,3,0,5
836,1765,3,731
17,91,92,1
960,1,1,4
3,9,143,3
5,2,473,969
1,52,1,248
3,71,1,14
020,44,1,137
1130,49,3,612
933,99,3,137
493,43,416,61
872,682,189,99
032,940,808,3
45,3,5,2
562,1906,62,4
486,017,4,152
931,187,529,71
485,5,5,416
9,118,98,1
15,3,858,955
487,3,43,48
9,620,259,263
75,627,3,13
1,90,3,449
3,494,134,4
128,99,3,1337
405,50,1531,2
3,128,57,249
3,945,72,4
544,211,73,12
20,1,07,880
1810,1,139,66
9,3,5,1
3,94,7,3
3,459,889,10
4,3,500,64
13,539,134,521
3,132,5,3
63,67,1,006
482,1290,95,3
4,1,9,663
3,4,3,1885
3,46,748,50
15,015,63,422
988,770,5,1
10,3,42,85
98,19,112,1618
15,3,4,66
55,5,99,2
1,988,421,3
4,14,741,115
41,14,069,3
98,1523,5,3
106,4,4,1626
978,3,02,428
1364,440,04,542
178,1,3,1461
3,9,565,085
14,4,717,12
1,14,10,44
3,8,12,4
25,57,1909,131
429,101,1310,3
1,49,94,6
1,9,4,3
29,531,47,138
721,685,17,5
1554,120,1722,596
8,3,452,135
16,1562,5,6
1,132,1,794
641,76,0,683
1096,123,2,5
4,442,030,94
9,93,002,9
3,4,4,2
53,3,3,493
876,3,41,1557
40,3,93,3
114,793,0,18
89,494,98,3
1244,81,1569,114
515,034,3,561
27,3,16,42
1517,03,164,5
5,23,14,62
3,515,1,1
1456,2,931,51
57,3,544,97
440,9,46,589
3,245,579,58
3,162,7,45
11,3,6,3
3,84,1602,5
5,87,9,548
5,3,072,1941
596,5,3,114
57,16,15,538
3,170,83,1109
4,5,1,24
297,440,134,9
4,110,116,1
5,3,5,92
89,1748,1,3
219,83,4,1724
530,098,3,1
51,4,822,82
8,1657,12,44
690,13,44,45
16,3,559,824
53,116,43,1436
448,1,217,1560
953,114,460,1
978,7,82,3
63,1937,670,3
11,40,7,46
1128,4,8,199
16,751,9,14
3,8,1,22
7,16,18,3
92,15,19,1
440,1228,111,760
4,6,7,1
425,146,94,5
419,411,238,84
2,1532,465,403
43,493,1,762
3,152,73,6
800,113,549,96
126,3,3,454
25,26,6,3
163,1440,1719,913
2,4,934,4
4,45,981,173
26,3,8,6
124,4,609,29
142,505,1,4
9,1397,1,1106
3,159,1481,11
59,5,4,3
441,6,3,10
103,96,038,810
12,1173,60,566
48,1,1350,6
554,3,106,553
3,6,8,3
14,974,94,702
3,42,4,129
120,1192,17,92
3,41,9,1
9,4,819,4
1,117,1190,199
3,5,5,4
148,5,49,634
819,74,168,53
3,1842,94,1920
1,3,409,16
89,727,7,883
845,16,1087,194
1661,566,127,7
1836,77,13,1896
144,122,67,570
10,152,3,658
05,7,1,41
15,4,1,8
59,836,13,18
1372,3,1037,41
14,2,1409,177
41,5,278,1664
3,617,584,17
3,993,9,653
224,1,2,081
82,2,613,3
481,19,15,44
676,167,5,189
274,5,9,41
13,3,4,42
51,44,54,16
1256,3,1185,738
978,153,17,18
12,50,421,77
4,856,3,7
064,186,15,140
129,3,1493,941
923,441,131,0
1611,23,3,6
4,18,636,016
45,3,64,48
141,595,1160,5
43,3,51,67
82,2,22,19
1323,3,515,1933
3,11,454,1
748,13,917,734
7,5,1077,16
1,185,1,62
3,14,482,45
47,417,8,472
2,3,5,6
3,12,578,719
107,1,190,1
908,0,124,3
539,26,3,741
1117,97,3,90
934,666,45,1376
50,4,3,3
143,1,461,1
49,168,3,11
508,644,1594,717
63,281,5,84
7,3,7,19
70,60,057,1
197,9,19,410
7,1,1,44
1,145,13,4
55,214,1595,148
192,3,2,8
56,4,12,4
566,468,487,45
107,5,3,11
1566,01,5,1
4,573,3,1
17,1,1,3
1,4,4,986
968,51,129,282
124,3,837,41
1057,282,584,1
1395,56,6,64
3,159,3,3
97,84,53,3
436,13,3,4
55,8,3,126
15,1,50,4
14,3,523,196
183,6,1,539
1736,47,430,86
5,11,3,831
81,74,1,138
10,27,132,3
5,066,1,52
499,22,054,3
460,83,468,1
53,3,1114,522
195,5,7,552
63,7,1,148
71,06,50,5
16,1855,49,3
5,1592,4,1
14,605,444,541
3,493,1,771
643,14,3,81
1416,1,111,530
251,1210,4,15
3,1094,3,1433
41,77,17,3
23,3,18,41
01,919,4,79
134,431,581,3
117,60,4,5
3,533,227,3
968,11,76,6
53,5,1106,2
5,8,1325,632
9,1380,929,1
15,4,0,2
9,1,3,6
4,3,9,13
5,3,749,1
3,26,195,713
801,25,595,93
65,786,9,4
52,564,109,6
51,1169,93,135
13,20,43,999
52,6,4,7
10,8,5,4
2,1,033,497
4,1,516,15
026,61,858,8
445,2,53,611
9,3,19,266
1753,666,3,3
20,25,176,15
65,982,1,980
76,244,923,56
681,17,3,40
7,25,4,984
932,16,11,4
12,3,3,168
5,4,1,1855
15,56,14,9
1,58,61,189
21,3,634,10
74,2,8,17
748,3,4,61
106,133,448,9
103,76,71,414
91,46,69,145
7,19,12,453
5,10,90,11
2,3,9,0
17,179,1996,145
273,3,26,13
263,45,94,1230
69,149,3,9
9,43,503,95
885,4,1,9
727,2,5,132
518,405,4,16
3,577,13,9
147,659,6,0
71,97,203,1
0,3,1,1
1716,16,99,15
6,1380,03,129
1348,1547,92,51
5,977,437,85
1022,3,43,1
21,3,51,9
1322,11,3,641
2,11,746,6
577,134,462,011
19,967,124,13
93,651,555,3
83,1,1397,6
3,3,131,3
3,16,026,259
120,161,1045,445
951,13,3,1592
0,75,1,11
80,3,751,999
59,12,10,672
850,53,57,2
1,53,184,151
150,3,1445,3
3,580,427,1
728,1974,126,2
9,17,6,28
5,1,72,51
90,924,9,588
0,438,77,89
1432,17,04,3
10,4,143,3
471,55,96,64
1,1849,1030,1
3,55,935,3
205,054,1560,1335
109,65,135,5
1199,452,121,6
4,44,591,3
81,199,3,58
47,3,1197,5
584,3,54,5
3,216,1,1845
97,196,5,0
45,96,898,985
1,3,138,474
4,3,185,218
92,4,3,6
52,1,75,123
52,798,98,99
11,15,19,1572
541,8,03,22
1,15,5,3
1,9,8,133
1,41,9,142
3,564,3,476
4,88,8,1
418,5,69,80
4,24,907,13
751,1379,7,13
858,217,229,1
4,842,61,3
57,439,07,1229
68,142,438,0
6,1371,673,1267
105,47,1121,078
83,097,1469,44
46,19,9,923
1349,174,081,153
46,2,1472,3
3,5,16,24
142,549,43,81
09,401,527,966
457,89,1866,214
625,164,3,3
1392,8,460,03
41,10,13,3
894,15,239,98
169,7,5,4
89,847,1,3
5,190,3,515
6,8,1580,17
16,1032,943,3
28,182,3,3
841,858,15,44
69,91,8,796
16,959,860,091
5,1,19,7
158,1,8,1523
188,91,1397,49
53,082,23,918
9,4,70,5
918,800,155,17
44,1606,1918,7
134,6,11,886
1,3,1030,195
4,4,530,499
3,10,7,1537
1698,5,1,1
3,471,2,036
19,4,549,1091
13,075,55,1763
1637,9,1905,1
3,1951,252,5
5,151,3,12
3,48,9,61
58,51,187,4
554,77,4,43
5,26,3,18
05,6,6,272
70,61,3,171
29,60,1,932
6,61,1911,1
1,5,0,55
15,6,73,1394
4,3,5,97
3,8,817,1
4,464,466,1
403,533,11,127
3,85,1,126
4,5,1,96
28,135,1,8
044,3,17,476
9,49,78,263
1542,258,56,3
1,16,82,14
412,49,192,891
1070,42,11,64
1,556,3,156
437,7,3,1
8,3,151,3
248,1,278,49
3,1888,484,47
54,1643,769,15
3,3,1615,1344
5,6,5,130
1434,47,4,782
1440,00,1,0
08,1454,19,1721
131,1,12,1
98,74,52,2
161,90,1679,5
1935,1,1781,23
54,1,3,3
2,4,5,3
5,6,1354,9
055,4,3,437
4,251,1734,52
573,181,3,481
3,2,1425,55
1300,5,43,3
162,14,6,2
181,25,173,4
594,1,442,142
72,977,032,1414
638,115,145,93
3,3,3,138
1055,450,598,146
926,5,3,82
3,4,841,614
5,936,67,16
1967,3,49,824
3,560,138,43
1,19,2,7
92,3,4,561
997,4,15,1840
1172,98,2,5
1908,1291,1064,3
708,140,660,136
752,76,133,680
5,15,591,1630
17,1,135,51
3,3,686,198
41,18,1782,3
557,51,695,1
19,928,92,030
27,3,88,3
49,954,172,3
80,3,17,1
434,05,1,3
3,3,18,819
9,2,47,3
